tweet_id,text,favorite_count,retweet_count,created_at
1516167990215118853,"@mahikalsoom @TeamPMShehbaz @RRVHR1 @Atifrauf79 #PTI Another bad joke from the #PMLN idiots. So, according to them,… https://t.co/9b9oULyicS",1,1,Mon Apr 18 21:33:12 +0000 2022
1516167621858709518,@Ali_MuhammadPTI @YouTube Maafi manglo Pakistani awam se awam maaf nai kry ge in ghadaaro ko. #PakistanZindabad… https://t.co/lCwbM0igyL,1,0,Mon Apr 18 21:31:44 +0000 2022
1516167620361592834,@hinaparvezbutt Hell mates in one shot! #MaryamNawaz #Maryamorangzaib #PMLN #ImranKhanPrimeMinister #ImranKhan #PTI #PTIGovernment,0,0,Mon Apr 18 21:31:44 +0000 2022
1516167371379154948,"PTI Leader #FawadChaudhry explains to  #PTI #ImranKhan sympathiser Mr Ansar Abbasi , the reality of #US Conspiracy… https://t.co/E9ILBhysjC",1,0,Mon Apr 18 21:30:45 +0000 2022
1516167025378611200,"in a lighter mood
#PTI #ImranKhan https://t.co/RolwBBIw6u",0,0,Mon Apr 18 21:29:22 +0000 2022
1516166858722144257,@hinaparvezbutt Ask your corrupt and arrogant leaders about a lie and hypocrisy because none knows better than them… https://t.co/cDEcLw6n5T,1,0,Mon Apr 18 21:28:42 +0000 2022
1516166841198129152,"Current Situation Is Very Tough!
😅😅😅
#Memes #ImranKhanVsWesternSlaves #imrankhanPTI #PTI #funny #Pakistan… https://t.co/vi6GgYRydG",0,0,Mon Apr 18 21:28:38 +0000 2022
1516166566907461633,"#PTI dissidents in one place? 😂

#PakistanNeedsElections 
#NotABOT
#امپورٹڈ_حکومت_نامنظور https://t.co/MKun9dBSOQ",0,0,Mon Apr 18 21:27:33 +0000 2022
1516165976064409600,"@MaryamNSharif Don't be shocked fella since your father and uncle speak like ""Abu Jahal."" You should be proud of th… https://t.co/JzlPLI4DAI",0,0,Mon Apr 18 21:25:12 +0000 2022
1516165971798548484,Only because she said it’s fake. Marium Aurangzeb! #MaryamNawazSharif #PTI #ImranKhanPrimeMinister #GeoNews #امپورٹڈ_حکومت_نامنظو,0,0,Mon Apr 18 21:25:11 +0000 2022
1516165470105522178,"New Song of #PTI,
Our esteemed youth is conscious, intelligent and dignified!
Our Nation is independent and respons… https://t.co/tVv3Ui4oF9",2,4,Mon Apr 18 21:23:11 +0000 2022
1516165214789672963,"#امپورٹڈ_حکومت_نامنظور
#PTI members keep the trend going 🇵🇰 https://t.co/xBLAE7VMSa",0,0,Mon Apr 18 21:22:10 +0000 2022
1516164893086564358,@UdarOfficial #PakistanZindabad #PTI #support #ImranKhanZindabad #ImranKhan #Pakistan   #امپورٹڈ_حکومت_نامنظور  we… https://t.co/cCOgHLkBOI,0,0,Mon Apr 18 21:20:54 +0000 2022
1516164766443708434,"Shame on #pti #imrankhan
#قاتل_اعظم_عمران_خان https://t.co/TB2c6dWOAs",7,7,Mon Apr 18 21:20:23 +0000 2022
1516164545621987332,@Ali_MuhammadPTI @YouTube Maafi manglo Pakistani awam se awam maaf nai kry ge in ghadaaro ko. #PakistanZindabad… https://t.co/1cp0AGv6h2,0,0,Mon Apr 18 21:19:31 +0000 2022
1516164463111589899,"https://t.co/pHqdQvcwBn
Sharif, Zardari,Bhutto Mqms (PDM)A God fearing man has this to say about you?? How on Earth… https://t.co/hodpOjoTbI",0,0,Mon Apr 18 21:19:11 +0000 2022
1516164458564960261,"@ImranRiazKhan27 We want reverse of all the acts, their dishonesty with the people of Pakistan ...… https://t.co/APVM091495",0,0,Mon Apr 18 21:19:10 +0000 2022
1516164215828107267,"@MehrTarar We want reverse of all the acts, their dishonesty with the people of Pakistan ... #PakistanZindabad #PTI… https://t.co/2RKrvVcBza",0,0,Mon Apr 18 21:18:12 +0000 2022
1516164005194260483,"@PTIofficial @Hammad_Azhar We want reverse of all the acts, their dishonesty with the people of Pakistan ...… https://t.co/WPmI9vJQuZ",0,0,Mon Apr 18 21:17:22 +0000 2022
1516163933970837507,Isnt it fair that #ForeignFundingCase of all #Political parties #PTI #PPP #PMLN should be heard together by the… https://t.co/SnswiW0ZL6,0,0,Mon Apr 18 21:17:05 +0000 2022
1516163907987345411,"@PTIofficial @ImranKhanPTI We want reverse of all the acts, their dishonesty with the people of Pakistan ...… https://t.co/y9CbxiV7Kl",0,0,Mon Apr 18 21:16:59 +0000 2022
1516163807755788296,"@PTIofficial We want reverse of all the acts, their dishonesty with the people of Pakistan ... #PakistanZindabad… https://t.co/mOMDuNO9gE",0,0,Mon Apr 18 21:16:35 +0000 2022
1516163651257970691,PTI Leader #FawadChaudhry explains the nexus between #PTI #ImranKhan &amp; Chaudhry Nisar with Banned Terror Outfit… https://t.co/mmPJu4DGMG,8,5,Mon Apr 18 21:15:58 +0000 2022
