tweet_id,text,favorite_count,retweet_count,created_at
1516165214789672963,PTI members keep the trend going,0,0,Mon Apr 18 21:22:10 +0000 2022
1516164893086564358,UdarOfficial PakistanZindabad PTI support ImranKhanZindabad ImranKhan Pakistan we,0,0,Mon Apr 18 21:20:54 +0000 2022
1516164766443708434,Shame on pti imrankhan,7,7,Mon Apr 18 21:20:23 +0000 2022
1516164545621987332,AliMuhammadPTI YouTube Maafi manglo Pakistani awam se awam maaf nai kry ge in ghadaaro ko PakistanZindabad,0,0,Mon Apr 18 21:19:31 +0000 2022
1516164463111589899,Sharif ZardariBhutto Mqms PDMA God fearing man has this to say about you How on Earth,0,0,Mon Apr 18 21:19:11 +0000 2022
1516164458564960261,ImranRiazKhan27 We want reverse of all the acts their dishonesty with the people of Pakistan,0,0,Mon Apr 18 21:19:10 +0000 2022
1516164215828107267,MehrTarar We want reverse of all the acts their dishonesty with the people of Pakistan PakistanZindabad PTI,0,0,Mon Apr 18 21:18:12 +0000 2022
1516164005194260483,PTIofficial HammadAzhar We want reverse of all the acts their dishonesty with the people of Pakistan,0,0,Mon Apr 18 21:17:22 +0000 2022
1516163933970837507,Isnt it fair that ForeignFundingCase of all Political parties PTI PPP PMLN should be heard together by the,0,0,Mon Apr 18 21:17:05 +0000 2022
1516163907987345411,PTIofficial ImranKhanPTI We want reverse of all the acts their dishonesty with the people of Pakistan,0,0,Mon Apr 18 21:16:59 +0000 2022
1516163807755788296,PTIofficial We want reverse of all the acts their dishonesty with the people of Pakistan PakistanZindabad,0,0,Mon Apr 18 21:16:35 +0000 2022
1516163651257970691,PTI Leader FawadChaudhry explains the nexus between PTI ImranKhan amp Chaudhry Nisar with Banned Terror Outfit,8,5,Mon Apr 18 21:15:58 +0000 2022
1516163392129708039,This is how PTI makes its twitter trends They do fake politics on fake arguments with fake identities They troll,11,5,Mon Apr 18 21:14:56 +0000 2022
1516163024683425799,LahoriElite Sidrasadozai What kind of healing are you looking from these bandits We all need to just get ready,0,0,Mon Apr 18 21:13:28 +0000 2022
1516162658579337216,When a bunch of known corrupt people unite against one man and spare no attempt to assassinate his character blind,0,0,Mon Apr 18 21:12:01 +0000 2022
1516162577130217474,iihtishamm Open up more Mental Hospitals Twitter bots will make them mental Love from London PTI CrimeMinister,1,0,Mon Apr 18 21:11:41 +0000 2022
1516162479868547077,Viral SyraYousuf sings JazbaeJunoon in PTIs Karachi rally SyraYousufBilquisEdhiAlAqsaUnderAttack,1,1,Mon Apr 18 21:11:18 +0000 2022
1516162418451390468,A RECORD RAINFALL OF 164 WAS SET AT GREENSBORO NC TODAY APRIL 18TH 2022 THIS BREAKS THE OLD RECORD OF 076 SET,0,0,Mon Apr 18 21:11:04 +0000 2022
1516162410297675779,PMLNPunjabPk PTIofficial Well they are not fake ImranKhanPrimeMinister importedgovernment PTI,0,0,Mon Apr 18 21:11:02 +0000 2022
1516161744183480328,Compromise for your dream but never compromise on your dream ImranKhanLatest song of PTI,5,6,Mon Apr 18 21:08:23 +0000 2022
1516161525567926273,FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or Constitution,0,0,Mon Apr 18 21:07:31 +0000 2022
1516161441891590149,khalidpk FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or Co,0,0,Mon Apr 18 21:07:11 +0000 2022
1516160808862068743,FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or Constitution,0,0,Mon Apr 18 21:04:40 +0000 2022
1516160771826331653,ubairkhann FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or C,0,0,Mon Apr 18 21:04:31 +0000 2022
1516160452321058823,FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or Constitution,0,0,Mon Apr 18 21:03:15 +0000 2022
1516160402371284993,AgaDurrani ImranKhanPTI FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of,0,0,Mon Apr 18 21:03:03 +0000 2022
1516160265926156294,786Nim frq03 4N11 mgjijii MiG9t 1Mliik paro1 MShb1 NZPAK Mishuu Kshaf Miiang Baalii zm444,0,0,Mon Apr 18 21:02:30 +0000 2022
1516160235479707656,In the next election ImranKhanPTIwould massacre the PDM politically One example is the recent byelection where,0,1,Mon Apr 18 21:02:23 +0000 2022
1516160053849513987,Translation is incorrect To the credit of this PMLN protester with the mic he is actually calling for an end to,55,25,Mon Apr 18 21:01:40 +0000 2022
1516160013580046343,This is From Our Vines YouTube Channel PakistanNeedsElection PTIMaddyWithKhan,2,0,Mon Apr 18 21:01:30 +0000 2022
1516159969405681680,FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the State or Constitution,0,0,Mon Apr 18 21:01:20 +0000 2022
1516159829101928456,MoeedNj YouTube FireChiefElectionCommissionerHigh Court Supreme Court MidnightJudges Protectors of the Stat,0,0,Mon Apr 18 21:00:46 +0000 2022
1516158954979860480,Im introducing a new trend from Sydney Australia for my InsafPK PTI ImranKhan PTIofficial fellows,0,0,Mon Apr 18 20:57:18 +0000 2022
